#截止2023-12-25，中国铁通IP地址段共计906条。铁通AS区域
#IP起始	结束	数量	网络
36.192.0.0	36.192.255.255	65536	36.192.0.0/16
36.192.0.0	36.223.255.255	2097152	36.192.0.0/11
36.192.0.0	36.192.7.255	2048	36.192.0.0/21
36.192.48.0	36.192.48.255	256	36.192.48.0/24
36.192.48.0	36.192.49.255	512	36.192.48.0/23
36.192.49.0	36.192.49.255	256	36.192.49.0/24
36.192.50.0	36.192.50.255	256	36.192.50.0/24
36.192.108.0	36.192.111.255	1024	36.192.108.0/22
36.193.0.0	36.193.255.255	65536	36.193.0.0/16
42.128.0.0	42.143.255.255	1048576	42.128.0.0/12
42.160.0.0	42.175.255.255	1048576	42.160.0.0/12
42.208.0.0	42.223.255.255	1048576	42.208.0.0/12
43.247.240.0	43.247.243.255	1024	43.247.240.0/22
61.232.0.0	61.232.31.255	8192	61.232.0.0/19
61.232.0.0	61.232.255.255	65536	61.232.0.0/16
61.232.0.0	61.235.255.255	262144	61.232.0.0/14
61.232.0.0	61.232.0.255	256	61.232.0.0/24
61.232.0.0	61.232.7.255	2048	61.232.0.0/21
61.232.4.0	61.232.4.255	256	61.232.4.0/24
61.232.8.0	61.232.11.255	1024	61.232.8.0/22
61.232.8.0	61.232.15.255	2048	61.232.8.0/21
61.232.10.0	61.232.10.255	256	61.232.10.0/24
61.232.16.0	61.232.31.255	4096	61.232.16.0/20
61.232.32.0	61.232.63.255	8192	61.232.32.0/19
61.232.64.0	61.232.95.255	8192	61.232.64.0/19
61.232.64.0	61.232.65.255	512	61.232.64.0/23
61.232.70.0	61.232.71.255	512	61.232.70.0/23
61.232.72.0	61.232.75.255	1024	61.232.72.0/22
61.232.76.0	61.232.76.255	256	61.232.76.0/24
61.232.96.0	61.232.127.255	8192	61.232.96.0/19
61.232.128.0	61.232.159.255	8192	61.232.128.0/19
61.232.160.0	61.232.191.255	8192	61.232.160.0/19
61.232.161.0	61.232.161.255	256	61.232.161.0/24
61.232.192.0	61.232.223.255	8192	61.232.192.0/19
61.232.206.0	61.232.206.255	256	61.232.206.0/24
61.232.224.0	61.232.255.255	8192	61.232.224.0/19
61.233.0.0	61.233.255.255	65536	61.233.0.0/16
61.233.0.0	61.233.7.255	2048	61.233.0.0/21
61.233.0.0	61.233.15.255	4096	61.233.0.0/20
61.233.0.0	61.233.31.255	8192	61.233.0.0/19
61.233.8.0	61.233.15.255	2048	61.233.8.0/21
61.233.9.0	61.233.9.255	256	61.233.9.0/24
61.233.11.0	61.233.11.255	256	61.233.11.0/24
61.233.16.0	61.233.23.255	2048	61.233.16.0/21
61.233.16.0	61.233.31.255	4096	61.233.16.0/20
61.233.19.0	61.233.19.255	256	61.233.19.0/24
61.233.22.0	61.233.22.255	256	61.233.22.0/24
61.233.24.0	61.233.31.255	2048	61.233.24.0/21
61.233.32.0	61.233.63.255	8192	61.233.32.0/19
61.233.64.0	61.233.95.255	8192	61.233.64.0/19
61.233.96.0	61.233.127.255	8192	61.233.96.0/19
61.233.128.0	61.233.159.255	8192	61.233.128.0/19
61.233.160.0	61.233.191.255	8192	61.233.160.0/19
61.233.192.0	61.233.223.255	8192	61.233.192.0/19
61.233.224.0	61.233.255.255	8192	61.233.224.0/19
61.234.0.0	61.234.31.255	8192	61.234.0.0/19
61.234.0.0	61.234.255.255	65536	61.234.0.0/16
61.234.32.0	61.234.63.255	8192	61.234.32.0/19
61.234.64.0	61.234.95.255	8192	61.234.64.0/19
61.234.96.0	61.234.127.255	8192	61.234.96.0/19
61.234.128.0	61.234.159.255	8192	61.234.128.0/19
61.234.144.0	61.234.159.255	4096	61.234.144.0/20
61.234.145.0	61.234.145.255	256	61.234.145.0/24
61.234.146.0	61.234.146.255	256	61.234.146.0/24
61.234.147.0	61.234.147.255	256	61.234.147.0/24
61.234.148.0	61.234.149.255	512	61.234.148.0/23
61.234.150.0	61.234.150.255	256	61.234.150.0/24
61.234.152.0	61.234.152.255	256	61.234.152.0/24
61.234.156.0	61.234.156.255	256	61.234.156.0/24
61.234.158.0	61.234.159.255	512	61.234.158.0/23
61.234.160.0	61.234.191.255	8192	61.234.160.0/19
61.234.192.0	61.234.223.255	8192	61.234.192.0/19
61.234.224.0	61.234.255.255	8192	61.234.224.0/19
61.235.0.0	61.235.31.255	8192	61.235.0.0/19
61.235.0.0	61.235.255.255	65536	61.235.0.0/16
61.235.32.0	61.235.63.255	8192	61.235.32.0/19
61.235.64.0	61.235.95.255	8192	61.235.64.0/19
61.235.96.0	61.235.127.255	8192	61.235.96.0/19
61.235.128.0	61.235.159.255	8192	61.235.128.0/19
61.235.160.0	61.235.191.255	8192	61.235.160.0/19
61.235.192.0	61.235.223.255	8192	61.235.192.0/19
61.235.224.0	61.235.255.255	8192	61.235.224.0/19
61.235.240.0	61.235.240.255	256	61.235.240.0/24
61.235.243.0	61.235.243.255	256	61.235.243.0/24
