#截止2023-12-25，中国电信IP地址段共计5872条。电信AS区域
#IP起始	结束	数量	网络
1.48.0.0	1.49.255.255	131072	1.48.0.0/15
1.50.0.0	1.50.255.255	65536	1.50.0.0/16
1.68.0.0	1.71.255.255	262144	1.68.0.0/14
1.80.0.0	1.87.255.255	524288	1.80.0.0/13
1.81.0.0	1.81.7.255	2048	1.81.0.0/21
1.82.0.0	1.82.31.255	8192	1.82.0.0/19
1.82.219.0	1.82.219.255	256	1.82.219.0/24
1.82.232.0	1.82.239.255	2048	1.82.232.0/21
1.82.244.0	1.82.244.255	256	1.82.244.0/24
1.84.128.0	1.84.159.255	8192	1.84.128.0/19
1.180.0.0	1.183.255.255	262144	1.180.0.0/14
1.192.0.0	1.199.255.255	524288	1.192.0.0/13
1.203.94.0	1.203.94.255	256	1.203.94.0/24
1.203.95.0	1.203.95.255	256	1.203.95.0/24
1.203.115.0	1.203.115.255	256	1.203.115.0/24
1.203.124.0	1.203.127.255	1024	1.203.124.0/22
1.204.0.0	1.207.255.255	262144	1.204.0.0/14
5.10.136.0	5.10.136.255	256	5.10.136.0/24
5.10.137.0	5.10.137.255	256	5.10.137.0/24
5.10.138.0	5.10.138.255	256	5.10.138.0/24
5.10.139.0	5.10.139.255	256	5.10.139.0/24
5.10.140.0	5.10.140.255	256	5.10.140.0/24
5.10.142.0	5.10.142.255	256	5.10.142.0/24
5.10.143.0	5.10.143.255	256	5.10.143.0/24
5.154.132.0	5.154.132.255	256	5.154.132.0/24
5.154.133.0	5.154.133.255	256	5.154.133.0/24
5.154.136.0	5.154.136.255	256	5.154.136.0/24
5.154.137.0	5.154.137.255	256	5.154.137.0/24
5.154.138.0	5.154.138.255	256	5.154.138.0/24
5.154.139.0	5.154.139.255	256	5.154.139.0/24
5.154.140.0	5.154.140.255	256	5.154.140.0/24
5.154.141.0	5.154.141.255	256	5.154.141.0/24
5.154.158.0	5.154.158.255	256	5.154.158.0/24
5.154.159.0	5.154.159.255	256	5.154.159.0/24
14.16.0.0	14.31.255.255	1048576	14.16.0.0/12
14.103.0.0	14.103.7.255	2048	14.103.0.0/21
14.103.8.0	14.103.15.255	2048	14.103.8.0/21
14.103.16.0	14.103.23.255	2048	14.103.16.0/21
14.103.24.0	14.103.31.255	2048	14.103.24.0/21
14.103.32.0	14.103.39.255	2048	14.103.32.0/21
14.103.40.0	14.103.47.255	2048	14.103.40.0/21
14.103.48.0	14.103.55.255	2048	14.103.48.0/21
14.103.56.0	14.103.63.255	2048	14.103.56.0/21
14.104.0.0	14.111.255.255	524288	14.104.0.0/13
14.112.0.0	14.127.255.255	1048576	14.112.0.0/12
14.134.0.0	14.135.255.255	131072	14.134.0.0/15
14.144.0.0	14.159.255.255	1048576	14.144.0.0/12
14.208.0.0	14.223.255.255	1048576	14.208.0.0/12
27.0.204.0	27.0.207.255	1024	27.0.204.0/22
27.0.208.0	27.0.215.255	2048	27.0.208.0/21
27.16.0.0	27.31.255.255	1048576	27.16.0.0/12
27.19.220.0	27.19.223.255	1024	27.19.220.0/22
27.19.248.0	27.19.255.255	2048	27.19.248.0/21
27.22.52.0	27.22.55.255	1024	27.22.52.0/22
27.22.56.0	27.22.59.255	1024	27.22.56.0/22
27.54.224.0	27.54.255.255	8192	27.54.224.0/19
27.109.124.0	27.109.127.255	1024	27.109.124.0/22
27.128.0.0	27.129.255.255	131072	27.128.0.0/15
27.148.0.0	27.151.255.255	262144	27.148.0.0/14
27.148.128.0	27.148.143.255	4096	27.148.128.0/20
27.148.144.0	27.148.151.255	2048	27.148.144.0/21
27.148.149.0	27.148.149.255	256	27.148.149.0/24
27.148.152.0	27.148.159.255	2048	27.148.152.0/21
27.148.160.0	27.148.191.255	8192	27.148.160.0/19
27.148.192.0	27.148.195.255	1024	27.148.192.0/22
27.148.196.0	27.148.199.255	1024	27.148.196.0/22
27.148.200.0	27.148.201.255	512	27.148.200.0/23
27.148.202.0	27.148.202.255	256	27.148.202.0/24
27.148.205.0	27.148.205.255	256	27.148.205.0/24
27.148.206.0	27.148.207.255	512	27.148.206.0/23
27.148.208.0	27.148.215.255	2048	27.148.208.0/21
27.148.248.0	27.148.255.255	2048	27.148.248.0/21
27.150.16.0	27.150.31.255	4096	27.150.16.0/20
27.150.20.0	27.150.20.255	256	27.150.20.0/24
27.150.22.0	27.150.22.255	256	27.150.22.0/24
27.150.168.0	27.150.168.255	256	27.150.168.0/24
27.150.168.0	27.150.175.255	2048	27.150.168.0/21
27.150.170.0	27.150.170.255	256	27.150.170.0/24
27.150.172.0	27.150.172.255	256	27.150.172.0/24
27.150.173.0	27.150.173.255	256	27.150.173.0/24
27.150.174.0	27.150.174.255	256	27.150.174.0/24
27.150.175.0	27.150.175.255	256	27.150.175.0/24
27.150.180.0	27.150.183.255	1024	27.150.180.0/22
27.150.182.0	27.150.182.255	256	27.150.182.0/24
27.150.184.0	27.150.187.255	1024	27.150.184.0/22
27.150.188.0	27.150.188.255	256	27.150.188.0/24
27.150.189.0	27.150.189.255	256	27.150.189.0/24
27.150.190.0	27.150.190.255	256	27.150.190.0/24
27.151.0.0	27.151.31.255	8192	27.151.0.0/19
27.151.3.0	27.151.3.255	256	27.151.3.0/24
27.151.4.0	27.151.7.255	1024	27.151.4.0/22
27.151.7.0	27.151.7.255	256	27.151.7.0/24
27.151.8.0	27.151.9.255	512	27.151.8.0/23
27.151.13.0	27.151.13.255	256	27.151.13.0/24
27.152.0.0	27.159.255.255	524288	27.152.0.0/13
27.152.28.0	27.152.29.255	512	27.152.28.0/23
27.152.60.0	27.152.60.255	256	27.152.60.0/24
27.152.180.0	27.152.180.255	256	27.152.180.0/24
27.152.181.0	27.152.181.255	256	27.152.181.0/24
27.152.182.0	27.152.183.255	512	27.152.182.0/23
27.152.184.0	27.152.185.255	512	27.152.184.0/23
27.152.186.0	27.152.187.255	512	27.152.186.0/23
27.152.188.0	27.152.189.255	512	27.152.188.0/23
27.152.190.0	27.152.190.255	256	27.152.190.0/24
27.152.191.0	27.152.191.255	256	27.152.191.0/24
27.155.64.0	27.155.95.255	8192	27.155.64.0/19
27.155.77.0	27.155.77.255	256	27.155.77.0/24
27.155.78.0	27.155.78.255	256	27.155.78.0/24
27.155.78.0	27.155.79.255	512	27.155.78.0/23
27.155.96.0	27.155.103.255	2048	27.155.96.0/21
27.155.97.0	27.155.97.255	256	27.155.97.0/24
27.155.100.0	27.155.100.255	256	27.155.100.0/24
27.155.101.0	27.155.101.255	256	27.155.101.0/24
27.155.103.0	27.155.103.255	256	27.155.103.0/24
27.155.104.0	27.155.111.255	2048	27.155.104.0/21
27.155.112.0	27.155.127.255	4096	27.155.112.0/20
27.156.0.0	27.156.15.255	4096	27.156.0.0/20
27.156.26.0	27.156.27.255	512	27.156.26.0/23
27.156.44.0	27.156.45.255	512	27.156.44.0/23
27.159.64.0	27.159.79.255	4096	27.159.64.0/20
