#截止2023-12-25，安徽省合肥市IP地址共计340条记录，IP地址总数1969152。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
1.51.120.0	1.51.127.255	2048	教育网
36.5.0.0	36.5.255.255	65536	电信
36.7.64.0	36.7.191.255	32768	电信
36.32.0.0	36.32.63.255	16384	联通
36.33.0.0	36.33.47.255	12288	联通
36.33.216.0	36.33.247.255	8192	联通
36.34.0.0	36.34.23.255	6144	联通
36.35.0.0	36.35.31.255	8192	联通
36.35.248.0	36.35.249.255	512	联通
36.57.128.0	36.57.191.255	16384	电信
36.58.0.0	36.58.255.255	65536	电信
36.59.96.0	36.59.127.255	8192	电信
36.60.0.0	36.60.17.255	4608	电信
36.60.20.0	36.60.42.255	5888	电信
36.60.44.0	36.60.47.255	1024	电信
36.60.49.0	36.60.127.255	20224	电信
36.61.0.0	36.61.255.255	65536	电信
36.161.78.0	36.161.79.255	512	移动
36.161.134.0	36.161.135.255	512	移动
36.161.158.0	36.161.161.255	1024	移动
36.192.157.0	36.192.157.255	256	铁通
39.134.120.0	39.134.121.255	512	移动
39.134.123.0	39.134.125.255	768	移动
39.137.58.0	39.137.58.255	256	移动
39.137.60.0	39.137.60.255	256	移动
42.157.0.0	42.157.11.255	3072	联通
42.247.26.0	42.247.26.255	256	教育网
43.224.80.0	43.224.83.255	1024	联通
43.236.80.0	43.236.83.255	1024	XX
43.237.88.0	43.237.91.255	1024	XX
43.251.232.0	43.251.235.255	1024	联通
43.255.244.0	43.255.247.255	1024	XX
45.116.100.0	45.116.103.255	1024	XX
45.251.120.0	45.251.123.255	1024	XX
45.252.8.0	45.252.51.255	11264	XX
45.252.84.0	45.252.87.255	1024	XX
45.252.100.0	45.252.103.255	1024	XX
45.252.132.0	45.252.139.255	2048	XX
45.252.144.0	45.252.147.255	1024	XX
45.253.122.0	45.253.122.255	256	鹏博士
45.254.28.0	45.254.28.255	256	鹏博士
58.200.155.0	58.200.155.255	256	教育网
58.207.48.0	58.207.63.255	4096	教育网
58.242.0.0	58.242.7.255	2048	联通
58.242.32.0	58.242.39.255	2048	联通
58.242.192.0	58.242.207.255	4096	联通
58.242.248.0	58.242.251.255	1024	联通
58.243.32.0	58.243.47.255	4096	联通
58.243.160.0	58.243.167.255	2048	联通
58.243.224.0	58.243.231.255	2048	联通
58.243.240.0	58.243.255.255	4096	联通
59.43.66.0	59.43.66.255	256	电信
59.81.80.0	59.81.81.255	512	联通
59.153.169.0	59.153.191.255	5888	XX
60.166.0.0	60.166.127.255	32768	电信
60.167.192.0	60.167.239.255	12288	电信
60.168.0.0	60.168.255.255	65536	电信
60.173.192.0	60.173.255.255	16384	电信
60.174.192.0	60.174.255.255	16384	电信
