#截止2023-12-25，湖北省武汉市IP地址共计487条记录，IP地址总数4547840。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
27.16.128.0	27.19.255.255	229376	电信
27.30.160.0	27.30.255.255	24576	电信
27.31.192.0	27.31.199.255	2048	电信
27.31.240.0	27.31.255.255	4096	电信
39.135.20.0	39.135.21.255	512	移动
39.135.153.0	39.135.153.255	256	移动
39.137.132.0	39.137.132.255	256	移动
42.198.0.0	42.198.255.255	65536	鹏博士
42.245.208.0	42.245.215.255	2048	教育网
42.245.254.0	42.245.255.255	512	教育网
42.247.9.0	42.247.9.255	256	教育网
42.247.12.0	42.247.12.255	256	教育网
42.247.15.0	42.247.15.255	256	教育网
43.224.184.0	43.224.187.255	1024	鹏博士
43.227.136.0	43.227.136.255	256	广电
43.227.137.0	43.227.137.255	256	湖北广电
43.227.138.0	43.227.138.255	256	广电
43.227.139.0	43.227.139.255	256	湖北广电
43.236.244.0	43.236.251.255	2048	XX
43.237.216.0	43.237.219.255	1024	XX
43.238.28.0	43.238.31.255	1024	XX
43.250.16.0	43.250.23.255	2048	鹏博士
43.250.100.0	43.250.103.255	1024	鹏博士
43.250.108.0	43.250.111.255	1024	鹏博士
45.113.52.0	45.113.55.255	1024	XX
45.113.184.0	45.113.187.255	1024	XX
45.116.20.0	45.116.23.255	1024	XX
45.253.16.0	45.253.23.255	2048	鹏博士
49.120.0.0	49.121.255.255	131072	教育网
49.122.72.0	49.122.127.255	14336	教育网
49.122.192.0	49.122.255.255	16384	教育网
49.123.48.0	49.123.63.255	4096	教育网
49.123.128.0	49.123.255.255	32768	教育网
49.210.128.0	49.211.127.255	65536	鹏博士
49.222.0.0	49.222.255.255	65536	鹏博士
58.19.0.0	58.19.123.255	31744	联通
58.19.126.0	58.19.132.255	1792	联通
58.19.134.0	58.19.135.255	512	联通
58.19.137.0	58.19.143.255	1792	联通
58.19.156.0	58.19.159.255	1024	联通
58.19.164.0	58.19.167.255	1024	联通
58.19.192.0	58.19.195.255	1024	联通
58.19.216.0	58.19.219.255	1024	联通
58.48.0.0	58.49.255.255	131072	电信
58.53.48.0	58.53.63.255	4096	电信
58.53.72.0	58.53.143.255	18432	电信
58.53.168.0	58.53.255.255	22528	电信
58.195.0.0	58.195.7.255	2048	教育网
58.195.160.0	58.195.175.255	4096	教育网
58.205.220.0	58.205.255.255	9216	教育网
58.207.144.0	58.207.159.255	4096	教育网
59.43.68.0	59.43.68.255	256	电信
59.43.118.0	59.43.118.255	256	电信
59.68.0.0	59.68.83.255	21504	教育网
59.68.88.0	59.68.191.255	26624	教育网
59.68.228.0	59.68.231.255	1024	教育网
59.68.234.0	59.69.127.255	38400	教育网
59.69.224.0	59.69.255.255	8192	教育网
59.70.15.0	59.70.15.255	256	教育网
59.70.208.0	59.70.223.255	4096	教育网
59.71.128.0	59.71.255.255	32768	教育网
59.78.210.0	59.78.211.255	512	教育网
59.172.0.0	59.175.255.255	262144	电信
61.136.128.0	61.136.131.255	1024	电信
61.136.206.0	61.136.212.255	1792	电信
61.136.252.0	61.136.254.255	768	电信
61.183.0.0	61.183.15.255	4096	电信
61.183.23.0	61.183.25.255	768	电信
61.183.27.0	61.183.31.255	1280	电信
61.183.46.0	61.183.47.255	512	电信
61.183.64.0	61.183.255.255	49152	电信
61.232.204.0	61.232.204.255	256	铁通
61.232.206.0	61.232.207.255	512	铁通
61.232.209.0	61.232.209.255	256	铁通
61.232.211.0	61.232.211.255	256	铁通
61.234.144.0	61.234.149.255	1536	铁通
61.234.152.0	61.234.153.255	512	铁通
61.234.157.0	61.234.159.255	768	铁通
61.242.128.0	61.242.129.255	512	联通
61.242.160.0	61.242.164.255	1280	联通
61.242.168.0	61.242.183.255	4096	联通
61.242.186.0	61.242.187.255	512	联通
61.242.190.0	61.242.191.255	512	联通
101.36.96.0	101.36.127.255	8192	XX
103.3.104.0	103.3.107.255	1024	联通
103.22.80.0	103.22.83.255	1024	电信
103.32.244.0	103.32.251.255	2048	XX
103.33.216.0	103.33.219.255	1024	XX
103.34.28.0	103.34.31.255	1024	XX
103.40.88.0	103.40.91.255	1024	XX
103.41.148.0	103.41.155.255	2048	鹏博士
103.41.220.0	103.41.227.255	2048	鹏博士
103.43.208.0	103.43.211.255	1024	鹏博士
103.46.244.0	103.46.247.255	1024	广电
103.67.72.0	103.67.75.255	1024	XX
103.67.80.0	103.67.87.255	2048	XX
103.67.172.0	103.67.172.255	256	XX
103.67.175.0	103.67.175.255	256	XX
103.72.124.0	103.72.127.255	1024	XX
103.79.84.0	103.79.87.255	1024	XX
103.94.20.0	103.94.23.255	1024	联通
103.95.52.0	103.95.55.255	1024	广电
103.95.152.0	103.95.155.255	1024	广电
103.95.216.0	103.95.219.255	1024	广电
103.98.80.0	103.98.83.255	1024	广电
103.98.196.0	103.98.199.255	1024	广电
103.98.240.0	103.98.247.255	2048	广电
103.99.116.0	103.99.123.255	2048	广电
103.99.232.0	103.99.239.255	2048	广电
103.100.248.0	103.100.255.255	2048	广电
103.101.144.0	103.101.151.255	2048	广电
103.102.76.0	103.102.83.255	2048	广电
103.102.208.0	103.102.215.255	2048	广电
103.104.36.0	103.104.43.255	2048	广电
103.104.252.0	103.105.3.255	2048	广电
103.105.180.0	103.105.187.255	2048	广电
103.106.36.0	103.106.43.255	2048	广电
103.106.128.0	103.106.135.255	2048	广电
103.106.252.0	103.107.3.255	2048	广电
103.107.28.0	103.107.35.255	2048	广电
103.113.4.0	103.113.7.255	1024	联通
103.126.124.0	103.126.127.255	1024	联通
103.204.136.0	103.204.139.255	1024	XX
103.210.188.0	103.210.191.255	1024	XX
103.226.60.0	103.226.63.255	1024	XX
103.226.116.0	103.226.119.255	1024	XX
103.226.156.0	103.226.159.255	1024	XX
110.121.8.0	110.121.31.255	6144	铁通
110.121.96.0	110.121.103.255	2048	铁通
110.121.248.0	110.121.251.255	1024	铁通
110.200.0.0	110.200.63.255	16384	铁通
110.200.240.0	110.201.13.255	7680	铁通
110.201.16.0	110.201.19.255	1024	铁通
110.201.24.0	110.201.39.255	4096	铁通
110.201.48.0	110.201.63.255	4096	铁通
110.201.100.0	110.201.103.255	1024	铁通
110.201.248.0	110.201.248.255	256	铁通
110.202.20.0	110.202.23.255	1024	铁通
110.202.40.0	110.202.51.255	3072	铁通
110.202.112.0	110.202.131.255	5120	铁通
110.202.152.0	110.202.155.255	1024	铁通
111.4.0.0	111.4.36.255	9472	移动
111.4.40.0	111.4.63.255	6144	移动
111.4.74.0	111.4.79.255	1536	移动
111.4.104.0	111.4.255.255	38912	移动
111.46.0.0	111.46.127.255	32768	移动
111.46.164.0	111.46.175.255	3072	移动
111.46.208.0	111.46.211.255	1024	移动
111.46.216.0	111.46.218.255	768	移动
111.46.221.0	111.46.223.255	768	移动
111.46.225.0	111.46.231.255	1792	移动
111.46.233.0	111.46.235.255	768	移动
111.46.244.0	111.47.31.255	11264	移动
111.47.108.0	111.47.111.255	1024	移动
111.47.120.0	111.47.123.255	1024	移动
111.47.132.0	111.47.132.255	256	移动
111.47.192.0	111.48.1.255	16896	移动
111.48.8.0	111.48.8.255	256	移动
111.48.14.0	111.48.15.255	512	移动
111.48.17.0	111.48.17.255	256	移动
111.48.19.0	111.48.20.255	512	移动
111.48.22.0	111.48.44.255	5888	移动
111.48.47.0	111.48.50.255	1024	移动
111.48.52.0	111.48.77.255	6656	移动
111.48.79.0	111.48.79.255	256	移动
111.48.82.0	111.48.83.255	512	移动
111.48.85.0	111.48.114.255	7680	移动
111.60.0.0	111.60.31.255	8192	移动
111.60.72.0	111.60.135.255	16384	移动
111.172.0.0	111.172.255.255	65536	电信
111.175.0.0	111.175.255.255	65536	电信
111.180.64.0	111.180.127.255	16384	电信
111.183.144.0	111.183.159.255	4096	电信
113.56.13.0	113.56.14.255	512	联通
113.56.16.0	113.56.19.255	1024	联通
113.56.92.0	113.56.103.255	3072	联通
113.56.184.0	113.56.191.255	2048	联通
113.56.220.0	113.56.220.255	256	联通
113.57.0.0	113.57.255.255	65536	联通
115.25.211.0	115.25.211.255	256	教育网
115.156.0.0	115.157.127.255	98304	教育网
115.157.224.0	115.157.239.255	4096	教育网
115.168.48.0	115.168.48.255	256	电信
115.168.80.0	115.168.80.255	256	电信
115.175.0.0	115.175.127.255	32768	鹏博士
115.190.0.0	115.191.255.255	131072	鹏博士
116.205.11.0	116.205.13.255	768	鹏博士
116.205.14.0	116.205.14.255	256	电信
116.209.16.0	116.209.31.255	4096	电信
116.209.64.0	116.209.67.255	1024	电信
116.209.72.0	116.209.87.255	4096	电信
116.209.96.0	116.209.127.255	8192	电信
116.210.0.0	116.210.47.255	12288	电信
116.210.128.0	116.210.135.255	2048	电信
116.210.160.0	116.210.191.255	8192	电信
116.210.252.0	116.211.31.255	9216	电信
116.211.51.0	116.211.51.255	256	电信
116.211.58.0	116.211.67.255	2560	电信
116.211.72.0	116.211.255.255	47104	电信
117.136.52.0	117.136.53.255	512	移动
117.136.74.0	117.136.74.255	256	移动
117.136.81.0	117.136.81.255	256	移动
117.136.83.0	117.136.83.255	256	移动
117.136.145.0	117.136.145.255	256	移动
117.150.212.0	117.150.215.255	1024	移动
117.151.0.0	117.151.127.255	32768	移动
117.152.64.0	117.152.95.255	8192	移动
117.152.144.0	117.152.159.255	4096	移动
117.152.192.0	117.152.223.255	8192	移动
117.154.0.0	117.154.115.255	29696	移动
119.36.0.0	119.36.11.255	3072	联通
119.36.32.0	119.36.33.255	512	联通
119.36.48.0	119.36.48.255	256	湖北广电
119.36.49.0	119.36.49.255	256	联通
119.36.50.0	119.36.51.255	512	湖北广电
119.36.52.0	119.36.52.255	256	联通
119.36.54.0	119.36.54.255	256	湖北广电
