#截止2023-12-25，山东省济南市IP地址共计426条记录，IP地址总数4145408。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
1.51.144.0	1.51.159.255	4096	教育网
1.51.192.0	1.51.255.255	16384	教育网
27.211.0.0	27.211.255.255	65536	联通
27.221.64.0	27.221.79.255	4096	联通
27.221.96.0	27.221.127.255	8192	联通
27.222.0.0	27.222.31.255	8192	联通
39.64.0.0	39.64.255.255	65536	联通
39.71.0.0	39.71.255.255	65536	联通
39.78.0.0	39.78.255.255	65536	联通
39.80.224.0	39.80.255.255	8192	联通
39.82.0.0	39.82.255.255	65536	联通
39.91.0.0	39.95.255.255	327680	联通
39.137.77.0	39.137.77.255	256	移动
43.228.188.0	43.228.191.255	1024	XX
43.236.88.0	43.236.91.255	1024	XX
43.238.196.0	43.238.203.255	2048	XX
43.250.112.0	43.250.115.255	1024	联通
45.113.220.0	45.113.223.255	1024	XX
45.115.156.0	45.115.159.255	1024	山东广电
45.251.8.0	45.251.11.255	1024	联通
58.14.0.0	58.15.255.255	131072	广电
58.56.0.0	58.56.127.255	32768	电信
58.58.16.0	58.58.31.255	4096	电信
58.58.110.0	58.58.110.255	256	电信
58.59.0.0	58.59.31.255	8192	电信
58.194.160.0	58.194.191.255	8192	教育网
58.195.16.0	58.195.31.255	4096	教育网
58.200.24.0	58.200.24.255	256	教育网
58.207.68.0	58.207.71.255	1024	教育网
59.81.12.0	59.81.13.255	512	联通
59.83.0.0	59.83.63.255	16384	电信
59.83.132.0	59.83.191.255	15360	联通
59.83.202.0	59.83.203.255	512	联通
59.83.206.0	59.83.209.255	1024	联通
59.83.222.0	59.83.222.255	256	联通
59.83.236.0	59.83.255.255	5120	联通
59.153.68.0	59.153.71.255	1024	移动
60.208.0.0	60.208.255.255	65536	联通
60.215.128.0	60.215.131.255	1024	联通
60.215.133.0	60.215.143.255	2816	联通
60.216.0.0	60.216.255.255	65536	联通
60.217.4.0	60.217.15.255	3072	联通
60.217.40.0	60.217.47.255	2048	联通
60.217.192.0	60.217.255.255	16384	联通
60.232.128.0	60.233.255.255	98304	广电
